Date,Open,High,Low,Close,Adj Close,Volume,
1/08/1979,17.4375,18.125,17.0625,17.5,1.951854,36858000,
1/09/1979,17.46875,17.84375,16.4375,16.9375,1.912361,35494800,
1/10/1979,16.90625,17.375,15.28125,15.59375,1.760642,45927200,
1/11/1979,15.59375,16.75,15.28125,16.3125,1.841793,33889200,
1/12/1979,16.28125,16.90625,15.8125,16.09375,1.842346,26533600,
1/01/1980,15.75,18,15.3125,17.15625,1.963975,49631600,
1/02/1980,17.15625,17.625,15.5,15.875,1.817303,39879600,
1/03/1980,15.875,15.875,12.84375,13.9375,1.615461,49619200,
1/04/1980,13.9375,14,12.59375,13.71875,1.590106,55773200,
1/05/1980,13.71875,14.15625,13,13.84375,1.604593,39994400,
1/06/1980,13.84375,15.09375,13.8125,14.6875,1.72937,42240800,
1/07/1980,14.6875,16.53125,14.59375,16.3125,1.920704,41150000,
1/08/1980,16.3125,17.28125,16,16.375,1.928065,38015200,
1/09/1980,16.375,17.25,15.84375,16.03125,1.912655,44193600,
1/10/1980,16.03125,17.875,15.90625,16.65625,1.987222,55620000,
1/11/1980,16.6875,18.1875,16.5625,17.03125,2.031962,46076800,
1/12/1980,17,17.375,15.8125,16.96875,2.050634,47108400,
1/01/1981,16.96875,17.875,16,16.09375,1.944891,44448800,
1/02/1981,16.09375,16.21875,15.0625,16.0625,1.941114,31698800,
1/03/1981,16.0625,16.3125,15.34375,15.59375,1.909933,43053600,
1/04/1981,15.59375,15.84375,14.65625,14.65625,1.795107,64481600,
1/05/1981,14.65625,14.84375,13.78125,14.6875,1.798934,46670800,
1/06/1981,14.9375,15.1875,14.28125,14.46875,1.798873,44883600,
1/07/1981,14.46875,14.46875,13.65625,14.03125,1.74448,33268800,
1/08/1981,14.03125,14.71875,13.75,13.78125,1.713396,33306800,
1/09/1981,13.78125,14.1875,13.0625,13.53125,1.707469,40204800,
1/10/1981,13.53125,14.0625,12.09375,12.875,1.62466,52389600,
1/11/1981,13,13.625,12.46875,13.625,1.7193,44765600,
1/12/1981,13.625,14.40625,13.25,14.21875,1.823818,47809200,
1/01/1982,14.40625,16.1875,13.90625,15.90625,2.04027,74401600,
1/02/1982,15.75,16,14.9375,15.46875,1.984153,51439200,
1/03/1982,15.53125,15.6875,14.28125,14.9375,1.942634,67770800,
1/04/1982,15.125,16.53125,14.96875,16.0625,2.088942,61904400,
1/05/1982,16.09375,16.3125,15.3125,15.375,1.999532,42299600,
1/06/1982,15.40625,15.53125,14.375,15.15625,1.99746,59794400,
1/07/1982,15.15625,17.15625,14.84375,16.40625,2.1622,77599600,
1/08/1982,16.65625,17.75,15.53125,17.625,2.32282,86336400,
1/09/1982,17.5625,19.40625,17.34375,18.34375,2.449647,88402400,
1/10/1982,18.5,21.1875,18.3125,19.96875,2.666653,90497200,
1/11/1982,20.125,21.625,19.875,21.625,2.887829,73062000,
1/12/1982,21.8125,24.5,21.53125,24.0625,3.246083,87144800,
1/01/1983,23.6875,25.1875,23.0625,24.71875,3.334612,83227600,
1/02/1983,24.53125,25.375,23.46875,24.75,3.338827,68222000,
1/03/1983,25.1875,26.21875,24.65625,25.4375,3.462592,70778800,
1/04/1983,25.40625,29.5,25.28125,29.25,3.981555,72702000,
1/05/1983,29,29.625,27.4375,27.8125,3.78588,55655600,
1/06/1983,27.8125,31.125,27.5625,30.0625,4.125799,64907200,
1/07/1983,30.15625,31.75,29.65625,30.09375,4.130085,65484400,
1/08/1983,30.0625,30.9375,28.8125,29.875,4.100065,68978400,
1/09/1983,29.90625,32.375,29.53125,31.71875,4.387479,72724800,
1/10/1983,31.625,33.5625,31.375,31.6875,4.383159,99626000,
1/11/1983,31.8125,31.9375,29.34375,29.34375,4.058958,89170800,
1/12/1983,29.4375,31.21875,29.28125,30.5,4.250757,76494400,
1/01/1984,30.5625,31.25,28.15625,28.53125,3.976375,115276000,
1/02/1984,28.5625,28.65625,26.625,27.5625,3.841359,111818400,
1/03/1984,27.4375,28.9375,26.65625,28.46875,4.000894,95428400,
1/04/1984,28.5625,28.65625,26.875,28.4375,3.996502,90708800,
1/05/1984,28.5,29.3125,26.40625,26.9375,3.785697,88976000,
1/06/1984,26.9375,27.3125,24.75,26.4375,3.74621,116490800,
1/07/1984,26.4375,27.71875,26,27.65625,3.918906,72080800,
1/08/1984,27.75,31.6875,27.71875,30.9375,4.383863,123313200,
1/09/1984,30.75,32.125,30.21875,31.0625,4.441874,79127600,
1/10/1984,30.9375,31.9375,29.6875,31.15625,4.455281,89139600,
1/11/1984,31.4375,31.9375,29.875,30.4375,4.390602,87458000,
1/12/1984,30.3125,31.125,29,30.78125,4.440186,88833200,
1/01/1985,30.59375,34.40625,29.75,34.09375,4.918015,130434000,
1/02/1985,33.90625,34.5625,32.6875,33.5,4.832366,91922000,
1/03/1985,33.625,34.1875,31.03125,31.75,4.617139,102980400,
1/04/1985,31.75,32.59375,30.96875,31.625,4.59896,78410400,
1/05/1985,31.59375,33.3125,31.15625,32.15625,4.676216,99628400,
1/06/1985,32.34375,32.65625,29.34375,30.9375,4.538804,118883600,
1/07/1985,30.9375,33.125,30,32.84375,4.818468,111006400,
1/08/1985,32.9375,33.1875,31.375,31.65625,4.644249,68101200,
1/09/1985,31.65625,32.625,30.5625,30.96875,4.582391,92325600,
1/10/1985,31,32.84375,30.71875,32.46875,4.804339,105592000,
1/11/1985,32.40625,35.1875,32.40625,34.9375,5.169634,108894800,
1/12/1985,34.9375,39.6875,34.40625,38.875,5.800098,114449200,
1/01/1986,38.6875,39.125,35.75,37.875,5.650898,127569600,
1/02/1986,37.96875,40.25,37.5,37.71875,5.627588,126502400,
1/03/1986,37.59375,38.375,36.125,37.875,5.815996,161545600,x
1/04/1986,37.96875,40.46875,36.84375,39.0625,5.998347,143528000,
1/05/1986,39,39.375,35.5625,38.09375,5.849587,132659200,
1/06/1986,38.1875,38.375,36.03125,36.625,5.792562,94299600,
1/07/1986,36.625,37.53125,32.46875,33.125,5.239007,150528800,
1/08/1986,33.15625,35.5,32.3125,34.6875,5.486129,114402800,
1/09/1986,34.71875,36.375,33.28125,33.625,5.502734,162128000,
1/10/1986,33.71875,33.875,29.9375,30.90625,5.057808,170433600,
1/11/1986,31,31.96875,29.8125,31.78125,5.201002,110249600,
1/12/1986,31.625,32.53125,30,30,5.087331,134091600,
1/01/1987,30.25,32.71875,28.9375,32.1875,5.45828,200740000,
1/02/1987,32.0625,36.0625,32,34.875,5.914022,144920000,
1/03/1987,34.875,39.15625,34.40625,37.53125,6.57868,157184400,
1/04/1987,37.25,40.375,35.65625,40.03125,7.016894,225196000,
1/05/1987,40,41.90625,38.75,40,7.011417,151076000,
1/06/1987,40.25,42.15625,39,40.625,7.313963,138280000,
1/07/1987,40.71875,42.46875,39.78125,40.25,7.246449,129840400,
1/08/1987,39.875,43.96875,39.625,42.09375,7.578395,189084000,
1/09/1987,42.15625,42.34375,37.125,37.6875,6.976666,196856000,
1/10/1987,37.8125,39.3125,25,30.625,5.669264,269141200,
1/11/1987,30.25,31.21875,27.5,27.6875,5.125476,139041600,
1/12/1987,28.125,30.09375,26.25,28.875,5.547667,144892800,
1/01/1988,29.25,31,27.15625,28.09375,5.397568,161385200,
1/02/1988,28.1875,29.46875,26.71875,29.375,5.64373,139936000,
1/03/1988,29.46875,29.65625,26.0625,26.90625,5.386868,139366000,
1/04/1988,26.875,29.125,26.40625,28.34375,5.67467,128671200,
1/05/1988,28.40625,28.78125,26.875,28.125,5.63087,84149200,
1/06/1988,28.25,32.09375,27.9375,31.84375,6.633109,157071600,
1/07/1988,31.9375,32.375,30,31.4375,6.548485,118082800,
1/08/1988,31.5,31.71875,27.59375,27.875,5.806412,116881200,
1/09/1988,27.78125,29.125,27.375,28.84375,6.226054,107313600,
1/10/1988,28.78125,31.21875,28.1875,30.65625,6.617288,116277200,
1/11/1988,30.71875,31.09375,28.53125,29.625,6.39469,103644400,
1/12/1988,29.59375,31.03125,29.40625,30.46875,6.82237,91382800,
1/01/1989,30.46875,32.71875,30.15625,32.65625,7.312175,130706400,
1/02/1989,32.4375,32.71875,30.15625,30.375,6.801376,114396400,
1/03/1989,30.53125,30.59375,26.90625,27.28125,6.323281,165558400,
1/04/1989,27.3125,28.9375,26.5625,28.53125,6.61301,111530800,
1/05/1989,28.25,28.4375,26.875,27.40625,6.352253,137074400,
1/06/1989,27.375,28.78125,26.875,27.96875,6.776799,144924400,
1/07/1989,28.125,29.1875,27.65625,28.75,6.966093,106153600,
1/08/1989,28.875,29.84375,28.125,29.28125,7.094819,148444400,
1/09/1989,29.21875,29.6875,26.9375,27.3125,6.91121,128322400,
1/10/1989,27.34375,27.4375,24.4375,25.0625,6.341865,170029200,
1/11/1989,25.0625,25.1875,24,24.40625,6.175809,122311600,
1/12/1989,24.40625,25.46875,23.34375,23.53125,6.257246,129607600,
1/01/1990,23.6875,25.40625,23.625,24.65625,6.556397,156385200,
1/02/1990,24.65625,26.375,24.375,25.96875,6.905408,133848800,
1/03/1990,25.9375,27.34375,25.84375,26.53125,7.420044,128318400,
1/04/1990,26.28125,27.8125,26.25,27.25,7.621061,110108400,
1/05/1990,27.375,30.53125,26.96875,30,8.390162,149241200,
1/06/1990,30.125,30.5625,29.0625,29.375,8.596195,118013600,
1/07/1990,29.375,30.78125,27.625,27.875,8.157236,120184400,
1/08/1990,27.96875,28.09375,24.125,25.46875,7.453081,165578800,
1/09/1990,25.25,27.3125,25.1875,26.59375,8.146979,117822800,
1/10/1990,26.78125,27.59375,24.0625,26.375,8.079969,161156400,
1/11/1990,26.34375,28.78125,26.21875,28.40625,8.702239,140917600,
1/12/1990,28.625,29,27.65625,28.25,9.058942,110565600,
1/01/1991,28.21875,31.78125,26.375,31.6875,10.161247,174923600,
1/02/1991,31.625,34.9375,31.40625,32.1875,10.321585,160567200,
1/03/1991,32.0625,33.75,27.75,28.46875,9.491158,178246000,
1/04/1991,28.46875,28.6875,25.53125,25.75,8.58476,164028400,
1/05/1991,25.625,26.625,25.125,26.53125,8.845214,144389600,
1/06/1991,26.5,26.84375,24.15625,24.28125,8.491712,143852000,
1/07/1991,24.40625,25.75,23.90625,25.3125,8.852364,115507200,
1/08/1991,25.25,25.4375,23,24.21875,8.469855,127478800,
1/09/1991,24.4375,26.59375,24.40625,25.90625,9.516028,117172000,
1/10/1991,25.90625,26.1875,24.1875,24.5625,9.022434,121914400,
1/11/1991,24.59375,25.34375,23.09375,23.125,8.494403,116302000,
1/12/1991,22.78125,23.09375,20.875,22.25,8.595904,186779200,
1/01/1992,22.25,24.53125,22.21875,22.5,8.692491,148634800,
1/02/1992,22.5,23.3125,21.65625,21.71875,8.390668,109520000,
1/03/1992,21.71875,22.5625,20.78125,20.875,8.516423,134208800,
1/04/1992,20.875,22.6875,20.40625,22.6875,9.255871,154146000,
1/05/1992,22.8125,23.59375,22.53125,22.6875,9.255871,113014400,
1/06/1992,22.625,24.65625,22.0625,24.46875,10.528297,146374400,
1/07/1992,24.46875,25.09375,23.09375,23.6875,10.192144,143590400,
1/08/1992,23.625,23.8125,21.25,21.65625,9.318151,121280800,
1/09/1992,21.65625,22.1875,20,20.1875,9.170606,134284000,
1/10/1992,20.25,20.28125,16.25,16.71875,7.594853,258644800,
1/11/1992,16.75,17.46875,15.21875,17.0625,7.751011,195714800,
1/12/1992,17.09375,17.21875,12.1875,12.59375,6.157657,392747600,
1/01/1993,12.9375,13.3125,11.46875,12.875,6.295176,311186000,
1/02/1993,13,13.71875,12.1875,13.59375,6.646602,195832000,
1/03/1993,13.6875,14.28125,12.46875,12.71875,6.493106,209145600,
1/04/1993,12.875,13.28125,11.84375,12.15625,6.205942,164894000,
1/05/1993,12.28125,13.5,11.78125,13.1875,6.732411,151283200,
1/06/1993,13.3125,13.59375,12.125,12.34375,6.589954,145922400,
1/07/1993,12.40625,12.4375,10.28125,11.125,5.939298,206189600,
1/08/1993,11.09375,11.46875,10.15625,11.4375,6.106133,140713600,
1/09/1993,11.4375,11.59375,10.3125,10.5,5.734865,143716000,
1/10/1993,10.53125,11.65625,10.53125,11.5,6.281049,182151200,
1/11/1993,11.5,14.03125,11.4375,13.46875,7.356332,270267200,
1/12/1993,13.6875,14.96875,13.1875,14.125,7.86983,196909600,
1/01/1994,14.21875,15,13.6875,14.125,7.86983,214073600,
